noise_type,noise_name,class_name,correct,wrong,total,accuracy
fixed,doing_the_dishes,backward,17,83,100,0.17
fixed,doing_the_dishes,bed,44,56,100,0.44
fixed,doing_the_dishes,bird,62,38,100,0.62
fixed,doing_the_dishes,cat,65,35,100,0.65
fixed,doing_the_dishes,dog,24,76,100,0.24
fixed,doing_the_dishes,down,12,88,100,0.12
fixed,doing_the_dishes,eight,20,80,100,0.2
fixed,doing_the_dishes,five,26,74,100,0.26
fixed,doing_the_dishes,follow,20,80,100,0.2
fixed,doing_the_dishes,forward,18,82,100,0.18
fixed,doing_the_dishes,four,38,62,100,0.38
fixed,doing_the_dishes,go,30,70,100,0.3
fixed,doing_the_dishes,happy,29,71,100,0.29
fixed,doing_the_dishes,house,43,57,100,0.43
fixed,doing_the_dishes,learn,19,81,100,0.19
fixed,doing_the_dishes,left,30,70,100,0.3
fixed,doing_the_dishes,marvin,31,69,100,0.31
fixed,doing_the_dishes,nine,19,81,100,0.19
fixed,doing_the_dishes,no,32,68,100,0.32
fixed,doing_the_dishes,off,50,50,100,0.5
fixed,doing_the_dishes,on,9,91,100,0.09
fixed,doing_the_dishes,one,9,91,100,0.09
fixed,doing_the_dishes,right,34,66,100,0.34
fixed,doing_the_dishes,seven,42,58,100,0.42
fixed,doing_the_dishes,sheila,57,43,100,0.57
fixed,doing_the_dishes,six,50,50,100,0.5
fixed,doing_the_dishes,stop,39,61,100,0.39
fixed,doing_the_dishes,three,6,94,100,0.06
fixed,doing_the_dishes,tree,27,73,100,0.27
fixed,doing_the_dishes,two,9,91,100,0.09
fixed,doing_the_dishes,up,48,52,100,0.48
fixed,doing_the_dishes,visual,17,83,100,0.17
fixed,doing_the_dishes,wow,35,65,100,0.35
fixed,doing_the_dishes,yes,31,69,100,0.31
fixed,doing_the_dishes,zero,45,55,100,0.45
fixed,dude_miaowing,backward,43,57,100,0.43
fixed,dude_miaowing,bed,48,52,100,0.48
fixed,dude_miaowing,bird,57,43,100,0.57
fixed,dude_miaowing,cat,56,44,100,0.56
fixed,dude_miaowing,dog,38,62,100,0.38
fixed,dude_miaowing,down,28,72,100,0.28
fixed,dude_miaowing,eight,66,34,100,0.66
fixed,dude_miaowing,five,39,61,100,0.39
fixed,dude_miaowing,follow,43,57,100,0.43
fixed,dude_miaowing,forward,36,64,100,0.36
fixed,dude_miaowing,four,46,54,100,0.46
fixed,dude_miaowing,go,19,81,100,0.19
fixed,dude_miaowing,happy,55,45,100,0.55
fixed,dude_miaowing,house,58,42,100,0.58
fixed,dude_miaowing,learn,34,66,100,0.34
