class_name,correct,wrong,total,accuracy
backward,53,47,100,0.53
bed,50,50,100,0.5
bird,55,45,100,0.55
cat,52,48,100,0.52
dog,37,63,100,0.37
down,33,67,100,0.33
eight,64,36,100,0.64
five,38,62,100,0.38
follow,41,59,100,0.41
forward,39,61,100,0.39
four,36,64,100,0.36
go,23,77,100,0.23
happy,58,42,100,0.58
house,57,43,100,0.57
learn,37,63,100,0.37
left,38,62,100,0.38
marvin,49,51,100,0.49
nine,36,64,100,0.36
no,34,66,100,0.34
off,50,50,100,0.5
on,35,65,100,0.35
one,25,75,100,0.25
right,30,70,100,0.3
seven,60,40,100,0.6
sheila,71,29,100,0.71
six,72,28,100,0.72
stop,60,40,100,0.6
three,41,59,100,0.41
tree,53,47,100,0.53
two,51,49,100,0.51
up,54,46,100,0.54
visual,52,48,100,0.52
wow,53,47,100,0.53
yes,55,45,100,0.55
zero,50,50,100,0.5
