noise_type,noise_name,class_name,correct,wrong,total,accuracy
fixed,doing_the_dishes,backward,42,58,100,0.42
fixed,doing_the_dishes,bed,37,63,100,0.37
fixed,doing_the_dishes,bird,54,46,100,0.54
fixed,doing_the_dishes,cat,67,33,100,0.67
fixed,doing_the_dishes,dog,30,70,100,0.3
fixed,doing_the_dishes,down,16,84,100,0.16
fixed,doing_the_dishes,eight,25,75,100,0.25
fixed,doing_the_dishes,five,32,68,100,0.32
fixed,doing_the_dishes,follow,23,77,100,0.23
fixed,doing_the_dishes,forward,17,83,100,0.17
fixed,doing_the_dishes,four,50,50,100,0.5
fixed,doing_the_dishes,go,25,75,100,0.25
fixed,doing_the_dishes,happy,35,65,100,0.35
fixed,doing_the_dishes,house,46,54,100,0.46
fixed,doing_the_dishes,learn,37,63,100,0.37
fixed,doing_the_dishes,left,41,59,100,0.41
fixed,doing_the_dishes,marvin,34,66,100,0.34
fixed,doing_the_dishes,nine,28,72,100,0.28
fixed,doing_the_dishes,no,29,71,100,0.29
fixed,doing_the_dishes,off,49,51,100,0.49
fixed,doing_the_dishes,on,17,83,100,0.17
fixed,doing_the_dishes,one,8,92,100,0.08
fixed,doing_the_dishes,right,27,73,100,0.27
fixed,doing_the_dishes,seven,51,49,100,0.51
fixed,doing_the_dishes,sheila,54,46,100,0.54
fixed,doing_the_dishes,six,62,38,100,0.62
fixed,doing_the_dishes,stop,48,52,100,0.48
fixed,doing_the_dishes,three,14,86,100,0.14
fixed,doing_the_dishes,tree,26,74,100,0.26
fixed,doing_the_dishes,two,11,89,100,0.11
fixed,doing_the_dishes,up,55,45,100,0.55
fixed,doing_the_dishes,visual,30,70,100,0.3
fixed,doing_the_dishes,wow,36,64,100,0.36
fixed,doing_the_dishes,yes,31,69,100,0.31
fixed,doing_the_dishes,zero,37,63,100,0.37
fixed,dude_miaowing,backward,45,55,100,0.45
fixed,dude_miaowing,bed,42,58,100,0.42
fixed,dude_miaowing,bird,59,41,100,0.59
fixed,dude_miaowing,cat,55,45,100,0.55
fixed,dude_miaowing,dog,40,60,100,0.4
fixed,dude_miaowing,down,22,78,100,0.22
fixed,dude_miaowing,eight,70,30,100,0.7
fixed,dude_miaowing,five,38,62,100,0.38
fixed,dude_miaowing,follow,39,61,100,0.39
fixed,dude_miaowing,forward,38,62,100,0.38
fixed,dude_miaowing,four,53,47,100,0.53
fixed,dude_miaowing,go,30,70,100,0.3
fixed,dude_miaowing,happy,46,54,100,0.46
fixed,dude_miaowing,house,64,36,100,0.64
fixed,dude_miaowing,learn,34,66,100,0.34
fixed,dude_miaowing,left,39,61,100,0.39
fixed,dude_miaowing,marvin,39,61,100,0.39
fixed,dude_miaowing,nine,37,63,100,0.37
fixed,dude_miaowing,no,30,70,100,0.3
fixed,dude_miaowing,off,65,35,100,0.65
fixed,dude_miaowing,on,37,63,100,0.37
fixed,dude_miaowing,one,21,79,100,0.21
fixed,dude_miaowing,right,33,67,100,0.33
fixed,dude_miaowing,seven,66,34,100,0.66
fixed,dude_miaowing,sheila,72,28,100,0.72
fixed,dude_miaowing,six,80,20,100,0.8
fixed,dude_miaowing,stop,62,38,100,0.62
fixed,dude_miaowing,three,49,51,100,0.49
fixed,dude_miaowing,tree,57,43,100,0.57
fixed,dude_miaowing,two,45,55,100,0.45
fixed,dude_miaowing,up,44,56,100,0.44
fixed,dude_miaowing,visual,50,50,100,0.5
fixed,dude_miaowing,wow,50,50,100,0.5
fixed,dude_miaowing,yes,60,40,100,0.6
fixed,dude_miaowing,zero,56,44,100,0.56
fixed,exercise_bike,backward,16,84,100,0.16
fixed,exercise_bike,bed,21,79,100,0.21
fixed,exercise_bike,bird,40,60,100,0.4
fixed,exercise_bike,cat,50,50,100,0.5
fixed,exercise_bike,dog,23,77,100,0.23
fixed,exercise_bike,down,18,82,100,0.18
fixed,exercise_bike,eight,65,35,100,0.65
fixed,exercise_bike,five,32,68,100,0.32
fixed,exercise_bike,follow,36,64,100,0.36
fixed,exercise_bike,forward,19,81,100,0.19
fixed,exercise_bike,four,56,44,100,0.56
fixed,exercise_bike,go,21,79,100,0.21
fixed,exercise_bike,happy,19,81,100,0.19
fixed,exercise_bike,house,56,44,100,0.56
fixed,exercise_bike,learn,23,77,100,0.23
fixed,exercise_bike,left,34,66,100,0.34
fixed,exercise_bike,marvin,41,59,100,0.41
fixed,exercise_bike,nine,22,78,100,0.22
fixed,exercise_bike,no,18,82,100,0.18
fixed,exercise_bike,off,86,14,100,0.86
fixed,exercise_bike,on,21,79,100,0.21
fixed,exercise_bike,one,17,83,100,0.17
fixed,exercise_bike,right,20,80,100,0.2
fixed,exercise_bike,seven,22,78,100,0.22
fixed,exercise_bike,sheila,52,48,100,0.52
fixed,exercise_bike,six,78,22,100,0.78
fixed,exercise_bike,stop,36,64,100,0.36
fixed,exercise_bike,three,53,47,100,0.53
fixed,exercise_bike,tree,39,61,100,0.39
fixed,exercise_bike,two,33,67,100,0.33
fixed,exercise_bike,up,24,76,100,0.24
fixed,exercise_bike,visual,33,67,100,0.33
fixed,exercise_bike,wow,36,64,100,0.36
